1;ACCESSIBILITY_CASE_PROTO_ID;REQUIREMENT_ID;SUBCONDITION_ID;REST_VARIABLE_ID;CONDITION_TYPE;REST_VALUE;ACCESSIBILITY_CASE_NAMES;ACCESSIBILITY_CASE_TITLE;BITS_QRS;REQUIREMENT_TEXT;EXPLANATION_WHY_NOT;EFFORT_TO_FIX;SHORTCOMING_FI;SHORTCOMING_SV;SHORTCOMING_EN
(;;;;;;;;;;;;;;;
  [500] SERVICE_POINT.general_type = outdoor_facility;1;1;1;500;E;outdoor_facility;"Olen pyörätuolin käyttäjä;Jag är en rullstolsanvändare;I am a wheelchair user:Olen pyörätuolin käyttäjä - saavun omalla autolla;Jag är en rullstolsanvändare - kommer med min egen bil;I am a wheelchair user - arrive by my car:Olen pyörätuolin käyttäjä - saavun saattoliikenteellä;Jag är en rullstolsanvändare - kommer med angöringstrafik;I am a wheelchair user - arrive with pick-up and drop-off traffic";"Puutteet pyörätuolilla liikkujalle;Brister för en rullstolsanvändare;Shortcomings for a wheelchair user";RS:Q:;Toimipisteen edessä pitää olla vähintään yksi leveä esteetön autopaikka.;Esteettömiä autopaikkoja ei ole.;BIG;Esteettömiä autopaikkoja ei ole.;Inga p-platser för personer med rörelsehinder.;No parking places for persons with a disability.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [1] OUTSIDE.01.ACCESSIBLE_PARKING_SPACE.count <> 0;1;1;2;1;I;0;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [3] OUTSIDE.01.ACCESSIBLE_PARKING_SPACE.width = at_least_3600mm;1;1;2;3;E;at_least_3600mm;;;;;Esteettömiksi merkittyjä autopaikkoja on, mutta ne eivät ole tarpeeksi leveitä.;BIG;Esteettömiksi merkittyjä autopaikkoja on, mutta ne eivät ole tarpeeksi leveitä.;Det finns p-platser som har angetts som tillgängliga, men de är inte tillräckligt breda.;There are parking spaces marked as accessible but they are not sufficiently wide.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
